t_s,route,status,latency_ms,backend,ok
0.047,message,201,31.560,backend-1,true
0.014,message,201,64.440,backend-1,true
0.003,message,201,76.110,backend-1,true
0.064,message,201,16.360,backend-3,true
0.065,message,201,15.230,backend-3,true
0.065,message,201,15.240,backend-3,true
0.065,message,201,15.300,backend-3,true
0.065,message,201,14.750,backend-3,true
0.064,message,201,16.370,backend-3,true
0.066,message,201,14.160,backend-3,true
0.066,message,201,14.190,backend-3,true
0.065,message,201,15.540,backend-3,true
0.065,message,201,15.580,backend-3,true
0.064,message,201,15.670,backend-3,true
0.063,message,201,16.670,backend-3,true
0.063,message,201,16.730,backend-3,true
0.065,message,201,15.560,backend-3,true
0.066,message,201,14.390,backend-3,true
0.066,message,201,14.380,backend-3,true
0.057,message,201,23.280,backend-2,true
0.010,message,201,70.520,backend-3,true
0.057,message,201,23.540,backend-2,true
0.057,message,201,23.510,backend-2,true
0.057,message,201,23.780,backend-2,true
0.066,message,201,14.820,backend-3,true
0.057,message,201,23.520,backend-2,true
0.057,message,201,23.580,backend-2,true
0.066,message,201,14.880,backend-3,true
0.066,message,201,14.880,backend-3,true
0.067,message,201,13.910,backend-3,true
0.067,message,201,14.030,backend-3,true
0.010,message,201,70.170,backend-3,true
0.057,message,201,23.740,backend-2,true
0.057,message,201,23.690,backend-2,true
0.057,message,201,23.600,backend-2,true
0.015,message,201,65.990,backend-3,true
0.012,message,201,69.440,backend-3,true
0.057,message,201,23.680,backend-2,true
0.047,message,201,34.070,backend-3,true
0.057,message,201,23.670,backend-2,true
0.058,message,201,23.690,backend-2,true
0.057,message,201,23.960,backend-2,true
0.058,message,201,23.690,backend-2,true
0.057,message,201,23.910,backend-2,true
0.058,message,201,23.480,backend-2,true
0.058,message,201,23.600,backend-2,true
0.058,message,201,23.450,backend-2,true
0.058,message,201,23.440,backend-2,true
0.058,message,201,23.480,backend-2,true
0.059,message,201,23.300,backend-2,true
0.058,message,201,23.680,backend-2,true
0.011,message,201,71.390,backend-2,true
0.002,message,201,80.590,backend-2,true
0.005,message,201,76.800,backend-2,true
0.013,message,201,69.840,backend-2,true
0.012,message,201,70.130,backend-2,true
0.048,message,201,34.700,backend-2,true
0.048,message,201,34.600,backend-2,true
0.012,message,201,70.120,backend-2,true
0.012,message,201,70.230,backend-2,true
0.016,message,201,66.760,backend-2,true
0.004,message,201,78.790,backend-2,true
0.047,message,201,35.610,backend-2,true
0.003,message,201,80.560,backend-2,true
0.003,message,201,80.460,backend-2,true
0.011,message,201,72.450,backend-2,true
0.063,message,201,20.900,backend-2,true
0.064,message,201,20.730,backend-2,true
0.063,message,201,20.970,backend-2,true
0.063,message,201,20.940,backend-2,true
0.063,message,201,20.960,backend-2,true
0.064,message,201,20.870,backend-2,true
0.064,message,201,20.850,backend-2,true
0.064,message,201,20.940,backend-2,true
0.064,message,201,20.100,backend-2,true
0.063,message,201,21.100,backend-2,true
0.064,message,201,20.100,backend-2,true
0.065,message,201,19.830,backend-2,true
0.065,message,201,19.980,backend-2,true
0.065,message,201,19.950,backend-2,true
0.065,message,201,20.190,backend-2,true
0.065,message,201,20.080,backend-2,true
0.065,message,201,20.140,backend-2,true
0.064,message,201,20.300,backend-2,true
0.065,message,201,20.060,backend-2,true
0.065,message,201,20.250,backend-2,true
0.065,message,201,20.250,backend-2,true
0.064,message,201,20.380,backend-2,true
0.066,message,201,19.270,backend-2,true
0.066,message,201,18.950,backend-2,true
0.066,message,201,19.510,backend-2,true
0.066,message,201,19.360,backend-2,true
0.066,message,201,19.400,backend-2,true
0.066,message,201,19.380,backend-2,true
0.066,message,201,19.460,backend-2,true
0.066,message,201,19.420,backend-2,true
0.066,message,201,19.490,backend-2,true
0.066,message,201,19.660,backend-2,true
0.066,message,201,19.560,backend-2,true
0.066,message,201,19.550,backend-2,true
0.066,message,201,19.550,backend-2,true
0.066,message,201,19.760,backend-2,true
0.066,message,201,19.760,backend-2,true
0.066,message,201,19.610,backend-2,true
0.066,message,201,19.720,backend-2,true
0.066,message,201,19.710,backend-2,true
0.000,message,201,85.360,backend-2,true
0.073,message,201,13.110,backend-1,true
0.073,message,201,13.200,backend-1,true
0.011,message,201,74.500,backend-1,true
0.074,message,201,11.940,backend-1,true
0.074,message,201,12.150,backend-1,true
0.074,message,201,12.070,backend-1,true
0.073,message,201,12.520,backend-1,true
0.074,message,201,12.470,backend-1,true
0.075,message,201,11.100,backend-1,true
0.073,message,201,12.730,backend-1,true
0.073,message,201,12.800,backend-1,true
